"","lat","lon","day","sis","sid","id"
"68",36.605,-97.515,8,8664.76666666667,10847.7166666667,"36.605 -97.515 8"
"69",36.605,-97.515,9,6168.78333333333,4515.93333333333,"36.605 -97.515 9"
"70",36.605,-97.515,10,2561.7,176.733333333333,"36.605 -97.515 10"
"71",36.605,-97.515,11,7775.46666666667,8060.06666666667,"36.605 -97.515 11"
"72",36.605,-97.515,12,5895.25,5580.43333333333,"36.605 -97.515 12"
"73",36.605,-97.515,13,7099.16666666667,5537.41666666667,"36.605 -97.515 13"
"74",36.605,-97.515,14,6341.88333333333,5269.51666666667,"36.605 -97.515 14"
"75",36.605,-97.515,15,7318.85,7361.68333333333,"36.605 -97.515 15"
"76",36.605,-97.515,16,8199.56666666667,8922.81666666667,"36.605 -97.515 16"
"77",36.605,-97.515,17,7624.13333333333,7691.9,"36.605 -97.515 17"
"78",36.605,-97.515,18,8083.25,7939.35,"36.605 -97.515 18"
"79",36.605,-97.515,19,6422.43333333333,4119.18333333333,"36.605 -97.515 19"
"80",36.605,-97.515,20,6322.73333333333,3753.46666666667,"36.605 -97.515 20"
"81",36.605,-97.515,21,6033.3,3255.4,"36.605 -97.515 21"
"82",36.605,-97.515,22,6760.33333333333,4624.86666666667,"36.605 -97.515 22"
"83",36.605,-97.515,23,7945.9,8483.93333333333,"36.605 -97.515 23"
"84",36.605,-97.515,24,6580.95,4789.55,"36.605 -97.515 24"
"85",36.605,-97.515,25,5463.63333333333,3424.95,"36.605 -97.515 25"
"86",36.605,-97.515,26,5697.85,4028.86666666667,"36.605 -97.515 26"
"87",36.605,-97.515,27,8237.63333333333,10102.4333333333,"36.605 -97.515 27"
"88",36.605,-97.515,28,4804.48333333333,2465.55,"36.605 -97.515 28"
"89",36.605,-97.515,29,6730.65,4466.18333333333,"36.605 -97.515 29"
"90",36.605,-97.515,30,7078.3,6434.63333333333,"36.605 -97.515 30"
"91",40.06,-88.37,1,2065.18333333333,787.533333333333,"40.06 -88.37 1"
"92",40.06,-88.37,2,856.166666666667,372.933333333333,"40.06 -88.37 2"
"93",40.06,-88.37,3,285.316666666667,0.316666666666667,"40.06 -88.37 3"
"94",40.06,-88.37,4,1413.1,249.3,"40.06 -88.37 4"
"95",40.06,-88.37,5,2689.43333333333,2772.45,"40.06 -88.37 5"
"96",40.06,-88.37,6,659.183333333333,453.466666666667,"40.06 -88.37 6"
"97",40.06,-88.37,7,2007.65,1465.9,"40.06 -88.37 7"
"98",40.06,-88.37,8,1913.63333333333,1583.41666666667,"40.06 -88.37 8"
"99",40.06,-88.37,9,2586.48333333333,2769.58333333333,"40.06 -88.37 9"
"100",40.06,-88.37,10,1298.16666666667,519.7,"40.06 -88.37 10"
"101",40.06,-88.37,11,1264.51666666667,203.5,"40.06 -88.37 11"
"102",40.06,-88.37,12,1210.8,320.55,"40.06 -88.37 12"
"103",40.06,-88.37,13,707.4,43,"40.06 -88.37 13"
"104",40.06,-88.37,14,2235.25,1329.06666666667,"40.06 -88.37 14"
"105",40.06,-88.37,15,2583.83333333333,2682.58333333333,"40.06 -88.37 15"
"106",40.06,-88.37,16,2601.68333333333,2549.16666666667,"40.06 -88.37 16"
"107",40.06,-88.37,17,2635.31666666667,2803.85,"40.06 -88.37 17"
"108",40.06,-88.37,18,2186.48333333333,1371.61666666667,"40.06 -88.37 18"
"109",40.06,-88.37,19,2681.61666666667,2578.6,"40.06 -88.37 19"
"110",40.06,-88.37,20,2915.31666666667,3836.13333333333,"40.06 -88.37 20"
"111",40.06,-88.37,21,2863.91666666667,3683.73333333333,"40.06 -88.37 21"
"112",40.06,-88.37,22,2812.18333333333,3249.31666666667,"40.06 -88.37 22"
"113",40.06,-88.37,23,2659.83333333333,2549.21666666667,"40.06 -88.37 23"
"114",40.06,-88.37,24,2649.15,2683.5,"40.06 -88.37 24"
"115",40.06,-88.37,25,2604.78333333333,2674.83333333333,"40.06 -88.37 25"
"116",40.06,-88.37,26,1602.13333333333,767.2,"40.06 -88.37 26"
"117",40.06,-88.37,27,2835.7,3573.95,"40.06 -88.37 27"
"118",40.06,-88.37,28,1598.16666666667,910.416666666667,"40.06 -88.37 28"
"119",40.06,-88.37,29,1718.73333333333,710.233333333333,"40.06 -88.37 29"
"120",40.06,-88.37,30,2287.71666666667,1491.65,"40.06 -88.37 30"
"121",40.125,-105.237,1,1446.2,822.783333333333,"40.125 -105.237 1"
"122",40.125,-105.237,2,2553.55,2882.71666666667,"40.125 -105.237 2"
"123",40.125,-105.237,3,2075.16666666667,1183.88333333333,"40.125 -105.237 3"
"124",40.125,-105.237,4,822.783333333333,57.5,"40.125 -105.237 4"
"125",40.125,-105.237,5,2089.68333333333,1341.06666666667,"40.125 -105.237 5"
"126",40.125,-105.237,6,2020.66666666667,1146.71666666667,"40.125 -105.237 6"
"127",40.125,-105.237,7,2218.43333333333,1368.91666666667,"40.125 -105.237 7"
"128",40.125,-105.237,8,2777.41666666667,3267.9,"40.125 -105.237 8"
"129",40.125,-105.237,9,1573.36666666667,1087.51666666667,"40.125 -105.237 9"
"130",40.125,-105.237,10,1989.56666666667,1613.56666666667,"40.125 -105.237 10"
"131",40.125,-105.237,11,2190.41666666667,1912.98333333333,"40.125 -105.237 11"
"132",40.125,-105.237,12,2459.83333333333,2297.16666666667,"40.125 -105.237 12"
"133",40.125,-105.237,13,1663.3,698.583333333333,"40.125 -105.237 13"
"134",40.125,-105.237,14,2567.4,2622.55,"40.125 -105.237 14"
"135",40.125,-105.237,15,2653.36666666667,2968.21666666667,"40.125 -105.237 15"
"136",40.125,-105.237,16,1855.26666666667,1033.96666666667,"40.125 -105.237 16"
"137",40.125,-105.237,17,1697.25,1107.66666666667,"40.125 -105.237 17"
"138",40.125,-105.237,18,1305.9,208.916666666667,"40.125 -105.237 18"
